year,avg
2000,5377748883.699493
2001,6012002117.33484
2002,6911082381.76746
2003,8264397570.920709
2004,9985799484.175272
2005,11573526814.422525
2006,13173203636.685352
2007,14623791939.67861
2008,16195956823.87894
2009,18327809146.665314
2010,20286516120.957176
2011,22495227149.243828
2012,23027607813.69941
2013,22688219310.154087
2014,22348830806.60876
2015,22363987311.051086
2016,20260086380.08599
2017,20891649869.165558
2018,20958026751.517605
2019,21802683468.899796
2020,22768287009.875088
2021,24295242564.31601
2022,26823444352.508453
